id	sys	dp	dpe	name	dsc
30	sdku	A_KP_1_ZDV_3	AlmU	sdku:A_KP_1_ZDV_3.AlmU	КП 1 Задв.3 Авария питания
31	sdku	A_KP_1_ZDV_4	Pin	sdku:A_KP_1_ZDV_4.Pin	КП 1 Задв.4 Давление на входе
32	sdku	A_KP_1_ZDV_4	Pout	sdku:A_KP_1_ZDV_4.Pout	КП 1 Задв.4 Давление на выходе
33	sdku	A_KP_1_ZDV_4	ToOpen	sdku:A_KP_1_ZDV_4.ToOpen	КП 1 Задв.4 Открыть
34	sdku	A_KP_1_ZDV_4	ToClose	sdku:A_KP_1_ZDV_4.ToClose	КП 1 Задв.4 Закрыть
35	sdku	A_KP_1_ZDV_4	Opened	sdku:A_KP_1_ZDV_4.Opened	КП 1 Задв.4 Открыта
36	sdku	A_KP_1_ZDV_4	Closed	sdku:A_KP_1_ZDV_4.Closed	КП 1 Задв.4 Закрыта
37	sdku	A_KP_1_ZDV_4	SetTimeOpen	sdku:A_KP_1_ZDV_4.SetTimeOpen	КП 1 Задв.4 Уставка на открытие
38	sdku	A_KP_1_ZDV_4	SetTimeClose	sdku:A_KP_1_ZDV_4.SetTimeClose	КП 1 Задв.4 Уставка на закрытие
39	sdku	A_KP_1_ZDV_4	AlmMuf	sdku:A_KP_1_ZDV_4.AlmMuf	КП 1 Задв.4 Авария муфты
40	sdku	A_KP_1_ZDV_4	AlmU	sdku:A_KP_1_ZDV_4.AlmU	КП 1 Задв.4 Авария питания
41	sdku	A_KP_1_ZDV_5	Pin	sdku:A_KP_1_ZDV_5.Pin	КП 1 Задв.5 Давление на входе
42	sdku	A_KP_1_ZDV_5	Pout	sdku:A_KP_1_ZDV_5.Pout	КП 1 Задв.5 Давление на выходе
43	sdku	A_KP_1_ZDV_5	ToOpen	sdku:A_KP_1_ZDV_5.ToOpen	КП 1 Задв.5 Открыть
44	sdku	A_KP_1_ZDV_5	ToClose	sdku:A_KP_1_ZDV_5.ToClose	КП 1 Задв.5 Закрыть
45	sdku	A_KP_1_ZDV_5	Opened	sdku:A_KP_1_ZDV_5.Opened	КП 1 Задв.5 Открыта
46	sdku	A_KP_1_ZDV_5	Closed	sdku:A_KP_1_ZDV_5.Closed	КП 1 Задв.5 Закрыта
47	sdku	A_KP_1_ZDV_5	SetTimeOpen	sdku:A_KP_1_ZDV_5.SetTimeOpen	КП 1 Задв.5 Уставка на открытие
48	sdku	A_KP_1_ZDV_5	SetTimeClose	sdku:A_KP_1_ZDV_5.SetTimeClose	КП 1 Задв.5 Уставка на закрытие
49	sdku	A_KP_1_ZDV_5	AlmMuf	sdku:A_KP_1_ZDV_5.AlmMuf	КП 1 Задв.5 Авария муфты
50	sdku	A_KP_1_ZDV_5	AlmU	sdku:A_KP_1_ZDV_5.AlmU	КП 1 Задв.5 Авария питания
51	sdku	A_KP_1_ZDV_6	Pin	sdku:A_KP_1_ZDV_6.Pin	КП 1 Задв.6 Давление на входе
52	sdku	A_KP_1_ZDV_6	Pout	sdku:A_KP_1_ZDV_6.Pout	КП 1 Задв.6 Давление на выходе
53	sdku	A_KP_1_ZDV_6	ToOpen	sdku:A_KP_1_ZDV_6.ToOpen	КП 1 Задв.6 Открыть
54	sdku	A_KP_1_ZDV_6	ToClose	sdku:A_KP_1_ZDV_6.ToClose	КП 1 Задв.6 Закрыть
55	sdku	A_KP_1_ZDV_6	Opened	sdku:A_KP_1_ZDV_6.Opened	КП 1 Задв.6 Открыта
56	sdku	A_KP_1_ZDV_6	Closed	sdku:A_KP_1_ZDV_6.Closed	КП 1 Задв.6 Закрыта
57	sdku	A_KP_1_ZDV_6	SetTimeOpen	sdku:A_KP_1_ZDV_6.SetTimeOpen	КП 1 Задв.6 Уставка на открытие
58	sdku	A_KP_1_ZDV_6	SetTimeClose	sdku:A_KP_1_ZDV_6.SetTimeClose	КП 1 Задв.6 Уставка на закрытие
59	sdku	A_KP_1_ZDV_6	AlmMuf	sdku:A_KP_1_ZDV_6.AlmMuf	КП 1 Задв.6 Авария муфты
60	sdku	A_KP_1_ZDV_6	AlmU	sdku:A_KP_1_ZDV_6.AlmU	КП 1 Задв.6 Авария питания
61	sdku	A_KP_1_ZDV_7	Pin	sdku:A_KP_1_ZDV_7.Pin	КП 1 Задв.7 Давление на входе
62	sdku	A_KP_1_ZDV_7	Pout	sdku:A_KP_1_ZDV_7.Pout	КП 1 Задв.7 Давление на выходе
63	sdku	A_KP_1_ZDV_7	ToOpen	sdku:A_KP_1_ZDV_7.ToOpen	КП 1 Задв.7 Открыть
64	sdku	A_KP_1_ZDV_7	ToClose	sdku:A_KP_1_ZDV_7.ToClose	КП 1 Задв.7 Закрыть
65	sdku	A_KP_1_ZDV_7	Opened	sdku:A_KP_1_ZDV_7.Opened	КП 1 Задв.7 Открыта
66	sdku	A_KP_1_ZDV_7	Closed	sdku:A_KP_1_ZDV_7.Closed	КП 1 Задв.7 Закрыта
67	sdku	A_KP_1_ZDV_7	SetTimeOpen	sdku:A_KP_1_ZDV_7.SetTimeOpen	КП 1 Задв.7 Уставка на открытие
68	sdku	A_KP_1_ZDV_7	SetTimeClose	sdku:A_KP_1_ZDV_7.SetTimeClose	КП 1 Задв.7 Уставка на закрытие
69	sdku	A_KP_1_ZDV_7	AlmMuf	sdku:A_KP_1_ZDV_7.AlmMuf	КП 1 Задв.7 Авария муфты
70	sdku	A_KP_1_ZDV_7	AlmU	sdku:A_KP_1_ZDV_7.AlmU	КП 1 Задв.7 Авария питания
71	sdku	A_KP_1_ZDV_8	Pin	sdku:A_KP_1_ZDV_8.Pin	КП 1 Задв.8 Давление на входе
72	sdku	A_KP_1_ZDV_8	Pout	sdku:A_KP_1_ZDV_8.Pout	КП 1 Задв.8 Давление на выходе
73	sdku	A_KP_1_ZDV_8	ToOpen	sdku:A_KP_1_ZDV_8.ToOpen	КП 1 Задв.8 Открыть
74	sdku	A_KP_1_ZDV_8	ToClose	sdku:A_KP_1_ZDV_8.ToClose	КП 1 Задв.8 Закрыть
75	sdku	A_KP_1_ZDV_8	Opened	sdku:A_KP_1_ZDV_8.Opened	КП 1 Задв.8 Открыта
76	sdku	A_KP_1_ZDV_8	Closed	sdku:A_KP_1_ZDV_8.Closed	КП 1 Задв.8 Закрыта
77	sdku	A_KP_1_ZDV_8	SetTimeOpen	sdku:A_KP_1_ZDV_8.SetTimeOpen	КП 1 Задв.8 Уставка на открытие
78	sdku	A_KP_1_ZDV_8	SetTimeClose	sdku:A_KP_1_ZDV_8.SetTimeClose	КП 1 Задв.8 Уставка на закрытие
79	sdku	A_KP_1_ZDV_8	AlmMuf	sdku:A_KP_1_ZDV_8.AlmMuf	КП 1 Задв.8 Авария муфты
80	sdku	A_KP_1_ZDV_8	AlmU	sdku:A_KP_1_ZDV_8.AlmU	КП 1 Задв.8 Авария питания
81	sdku	A_KP_1_ZDV_9	Pin	sdku:A_KP_1_ZDV_9.Pin	КП 1 Задв.9 Давление на входе
82	sdku	A_KP_1_ZDV_9	Pout	sdku:A_KP_1_ZDV_9.Pout	КП 1 Задв.9 Давление на выходе
83	sdku	A_KP_1_ZDV_9	ToOpen	sdku:A_KP_1_ZDV_9.ToOpen	КП 1 Задв.9 Открыть
84	sdku	A_KP_1_ZDV_9	ToClose	sdku:A_KP_1_ZDV_9.ToClose	КП 1 Задв.9 Закрыть
85	sdku	A_KP_1_ZDV_9	Opened	sdku:A_KP_1_ZDV_9.Opened	КП 1 Задв.9 Открыта
86	sdku	A_KP_1_ZDV_9	Closed	sdku:A_KP_1_ZDV_9.Closed	КП 1 Задв.9 Закрыта
87	sdku	A_KP_1_ZDV_9	SetTimeOpen	sdku:A_KP_1_ZDV_9.SetTimeOpen	КП 1 Задв.9 Уставка на открытие
88	sdku	A_KP_1_ZDV_9	SetTimeClose	sdku:A_KP_1_ZDV_9.SetTimeClose	КП 1 Задв.9 Уставка на закрытие
89	sdku	A_KP_1_ZDV_9	AlmMuf	sdku:A_KP_1_ZDV_9.AlmMuf	КП 1 Задв.9 Авария муфты
90	sdku	A_KP_1_ZDV_9	AlmU	sdku:A_KP_1_ZDV_9.AlmU	КП 1 Задв.9 Авария питания
91	sdku	A_KP_1_ZDV_10	Pin	sdku:A_KP_1_ZDV_10.Pin	КП 1 Задв.10 Давление на входе
92	sdku	A_KP_1_ZDV_10	Pout	sdku:A_KP_1_ZDV_10.Pout	КП 1 Задв.10 Давление на выходе
93	sdku	A_KP_1_ZDV_10	ToOpen	sdku:A_KP_1_ZDV_10.ToOpen	КП 1 Задв.10 Открыть
94	sdku	A_KP_1_ZDV_10	ToClose	sdku:A_KP_1_ZDV_10.ToClose	КП 1 Задв.10 Закрыть
95	sdku	A_KP_1_ZDV_10	Opened	sdku:A_KP_1_ZDV_10.Opened	КП 1 Задв.10 Открыта
96	sdku	A_KP_1_ZDV_10	Closed	sdku:A_KP_1_ZDV_10.Closed	КП 1 Задв.10 Закрыта
97	sdku	A_KP_1_ZDV_10	SetTimeOpen	sdku:A_KP_1_ZDV_10.SetTimeOpen	КП 1 Задв.10 Уставка на открытие
98	sdku	A_KP_1_ZDV_10	SetTimeClose	sdku:A_KP_1_ZDV_10.SetTimeClose	КП 1 Задв.10 Уставка на закрытие
99	sdku	A_KP_1_ZDV_10	AlmMuf	sdku:A_KP_1_ZDV_10.AlmMuf	КП 1 Задв.10 Авария муфты
100	sdku	A_KP_1_ZDV_10	AlmU	sdku:A_KP_1_ZDV_10.AlmU	КП 1 Задв.10 Авария питания
101	sdku	A_KP_2_ZDV_1	Pin	sdku:A_KP_2_ZDV_1.Pin	КП 2 Задв.1 Давление на входе
102	sdku	A_KP_2_ZDV_1	Pout	sdku:A_KP_2_ZDV_1.Pout	КП 2 Задв.1 Давление на выходе
103	sdku	A_KP_2_ZDV_1	ToOpen	sdku:A_KP_2_ZDV_1.ToOpen	КП 2 Задв.1 Открыть
104	sdku	A_KP_2_ZDV_1	ToClose	sdku:A_KP_2_ZDV_1.ToClose	КП 2 Задв.1 Закрыть
105	sdku	A_KP_2_ZDV_1	Opened	sdku:A_KP_2_ZDV_1.Opened	КП 2 Задв.1 Открыта
106	sdku	A_KP_2_ZDV_1	Closed	sdku:A_KP_2_ZDV_1.Closed	КП 2 Задв.1 Закрыта
107	sdku	A_KP_2_ZDV_1	SetTimeOpen	sdku:A_KP_2_ZDV_1.SetTimeOpen	КП 2 Задв.1 Уставка на открытие
108	sdku	A_KP_2_ZDV_1	SetTimeClose	sdku:A_KP_2_ZDV_1.SetTimeClose	КП 2 Задв.1 Уставка на закрытие
109	sdku	A_KP_2_ZDV_1	AlmMuf	sdku:A_KP_2_ZDV_1.AlmMuf	КП 2 Задв.1 Авария муфты
110	sdku	A_KP_2_ZDV_1	AlmU	sdku:A_KP_2_ZDV_1.AlmU	КП 2 Задв.1 Авария питания
111	sdku	A_KP_2_ZDV_2	Pin	sdku:A_KP_2_ZDV_2.Pin	КП 2 Задв.2 Давление на входе
112	sdku	A_KP_2_ZDV_2	Pout	sdku:A_KP_2_ZDV_2.Pout	КП 2 Задв.2 Давление на выходе
113	sdku	A_KP_2_ZDV_2	ToOpen	sdku:A_KP_2_ZDV_2.ToOpen	КП 2 Задв.2 Открыть
114	sdku	A_KP_2_ZDV_2	ToClose	sdku:A_KP_2_ZDV_2.ToClose	КП 2 Задв.2 Закрыть
115	sdku	A_KP_2_ZDV_2	Opened	sdku:A_KP_2_ZDV_2.Opened	КП 2 Задв.2 Открыта
116	sdku	A_KP_2_ZDV_2	Closed	sdku:A_KP_2_ZDV_2.Closed	КП 2 Задв.2 Закрыта
117	sdku	A_KP_2_ZDV_2	SetTimeOpen	sdku:A_KP_2_ZDV_2.SetTimeOpen	КП 2 Задв.2 Уставка на открытие
118	sdku	A_KP_2_ZDV_2	SetTimeClose	sdku:A_KP_2_ZDV_2.SetTimeClose	КП 2 Задв.2 Уставка на закрытие
119	sdku	A_KP_2_ZDV_2	AlmMuf	sdku:A_KP_2_ZDV_2.AlmMuf	КП 2 Задв.2 Авария муфты
120	sdku	A_KP_2_ZDV_2	AlmU	sdku:A_KP_2_ZDV_2.AlmU	КП 2 Задв.2 Авария питания
121	sdku	A_KP_2_ZDV_3	Pin	sdku:A_KP_2_ZDV_3.Pin	КП 2 Задв.3 Давление на входе
122	sdku	A_KP_2_ZDV_3	Pout	sdku:A_KP_2_ZDV_3.Pout	КП 2 Задв.3 Давление на выходе
123	sdku	A_KP_2_ZDV_3	ToOpen	sdku:A_KP_2_ZDV_3.ToOpen	КП 2 Задв.3 Открыть
124	sdku	A_KP_2_ZDV_3	ToClose	sdku:A_KP_2_ZDV_3.ToClose	КП 2 Задв.3 Закрыть
125	sdku	A_KP_2_ZDV_3	Opened	sdku:A_KP_2_ZDV_3.Opened	КП 2 Задв.3 Открыта
126	sdku	A_KP_2_ZDV_3	Closed	sdku:A_KP_2_ZDV_3.Closed	КП 2 Задв.3 Закрыта
127	sdku	A_KP_2_ZDV_3	SetTimeOpen	sdku:A_KP_2_ZDV_3.SetTimeOpen	КП 2 Задв.3 Уставка на открытие
128	sdku	A_KP_2_ZDV_3	SetTimeClose	sdku:A_KP_2_ZDV_3.SetTimeClose	КП 2 Задв.3 Уставка на закрытие
129	sdku	A_KP_2_ZDV_3	AlmMuf	sdku:A_KP_2_ZDV_3.AlmMuf	КП 2 Задв.3 Авария муфты
130	sdku	A_KP_2_ZDV_3	AlmU	sdku:A_KP_2_ZDV_3.AlmU	КП 2 Задв.3 Авария питания
131	sdku	A_KP_2_ZDV_4	Pin	sdku:A_KP_2_ZDV_4.Pin	КП 2 Задв.4 Давление на входе
132	sdku	A_KP_2_ZDV_4	Pout	sdku:A_KP_2_ZDV_4.Pout	КП 2 Задв.4 Давление на выходе
133	sdku	A_KP_2_ZDV_4	ToOpen	sdku:A_KP_2_ZDV_4.ToOpen	КП 2 Задв.4 Открыть
134	sdku	A_KP_2_ZDV_4	ToClose	sdku:A_KP_2_ZDV_4.ToClose	КП 2 Задв.4 Закрыть
135	sdku	A_KP_2_ZDV_4	Opened	sdku:A_KP_2_ZDV_4.Opened	КП 2 Задв.4 Открыта
136	sdku	A_KP_2_ZDV_4	Closed	sdku:A_KP_2_ZDV_4.Closed	КП 2 Задв.4 Закрыта
137	sdku	A_KP_2_ZDV_4	SetTimeOpen	sdku:A_KP_2_ZDV_4.SetTimeOpen	КП 2 Задв.4 Уставка на открытие
138	sdku	A_KP_2_ZDV_4	SetTimeClose	sdku:A_KP_2_ZDV_4.SetTimeClose	КП 2 Задв.4 Уставка на закрытие
139	sdku	A_KP_2_ZDV_4	AlmMuf	sdku:A_KP_2_ZDV_4.AlmMuf	КП 2 Задв.4 Авария муфты
140	sdku	A_KP_2_ZDV_4	AlmU	sdku:A_KP_2_ZDV_4.AlmU	КП 2 Задв.4 Авария питания
141	sdku	A_KP_2_ZDV_5	Pin	sdku:A_KP_2_ZDV_5.Pin	КП 2 Задв.5 Давление на входе
142	sdku	A_KP_2_ZDV_5	Pout	sdku:A_KP_2_ZDV_5.Pout	КП 2 Задв.5 Давление на выходе
143	sdku	A_KP_2_ZDV_5	ToOpen	sdku:A_KP_2_ZDV_5.ToOpen	КП 2 Задв.5 Открыть
144	sdku	A_KP_2_ZDV_5	ToClose	sdku:A_KP_2_ZDV_5.ToClose	КП 2 Задв.5 Закрыть
145	sdku	A_KP_2_ZDV_5	Opened	sdku:A_KP_2_ZDV_5.Opened	КП 2 Задв.5 Открыта
146	sdku	A_KP_2_ZDV_5	Closed	sdku:A_KP_2_ZDV_5.Closed	КП 2 Задв.5 Закрыта
147	sdku	A_KP_2_ZDV_5	SetTimeOpen	sdku:A_KP_2_ZDV_5.SetTimeOpen	КП 2 Задв.5 Уставка на открытие
148	sdku	A_KP_2_ZDV_5	SetTimeClose	sdku:A_KP_2_ZDV_5.SetTimeClose	КП 2 Задв.5 Уставка на закрытие
149	sdku	A_KP_2_ZDV_5	AlmMuf	sdku:A_KP_2_ZDV_5.AlmMuf	КП 2 Задв.5 Авария муфты
150	sdku	A_KP_2_ZDV_5	AlmU	sdku:A_KP_2_ZDV_5.AlmU	КП 2 Задв.5 Авария питания
151	sdku	A_KP_2_ZDV_6	Pin	sdku:A_KP_2_ZDV_6.Pin	КП 2 Задв.6 Давление на входе
152	sdku	A_KP_2_ZDV_6	Pout	sdku:A_KP_2_ZDV_6.Pout	КП 2 Задв.6 Давление на выходе
153	sdku	A_KP_2_ZDV_6	ToOpen	sdku:A_KP_2_ZDV_6.ToOpen	КП 2 Задв.6 Открыть
154	sdku	A_KP_2_ZDV_6	ToClose	sdku:A_KP_2_ZDV_6.ToClose	КП 2 Задв.6 Закрыть
155	sdku	A_KP_2_ZDV_6	Opened	sdku:A_KP_2_ZDV_6.Opened	КП 2 Задв.6 Открыта
156	sdku	A_KP_2_ZDV_6	Closed	sdku:A_KP_2_ZDV_6.Closed	КП 2 Задв.6 Закрыта
157	sdku	A_KP_2_ZDV_6	SetTimeOpen	sdku:A_KP_2_ZDV_6.SetTimeOpen	КП 2 Задв.6 Уставка на открытие
158	sdku	A_KP_2_ZDV_6	SetTimeClose	sdku:A_KP_2_ZDV_6.SetTimeClose	КП 2 Задв.6 Уставка на закрытие
159	sdku	A_KP_2_ZDV_6	AlmMuf	sdku:A_KP_2_ZDV_6.AlmMuf	КП 2 Задв.6 Авария муфты
160	sdku	A_KP_2_ZDV_6	AlmU	sdku:A_KP_2_ZDV_6.AlmU	КП 2 Задв.6 Авария питания
161	sdku	A_KP_2_ZDV_7	Pin	sdku:A_KP_2_ZDV_7.Pin	КП 2 Задв.7 Давление на входе
162	sdku	A_KP_2_ZDV_7	Pout	sdku:A_KP_2_ZDV_7.Pout	КП 2 Задв.7 Давление на выходе
163	sdku	A_KP_2_ZDV_7	ToOpen	sdku:A_KP_2_ZDV_7.ToOpen	КП 2 Задв.7 Открыть
164	sdku	A_KP_2_ZDV_7	ToClose	sdku:A_KP_2_ZDV_7.ToClose	КП 2 Задв.7 Закрыть
165	sdku	A_KP_2_ZDV_7	Opened	sdku:A_KP_2_ZDV_7.Opened	КП 2 Задв.7 Открыта
166	sdku	A_KP_2_ZDV_7	Closed	sdku:A_KP_2_ZDV_7.Closed	КП 2 Задв.7 Закрыта
167	sdku	A_KP_2_ZDV_7	SetTimeOpen	sdku:A_KP_2_ZDV_7.SetTimeOpen	КП 2 Задв.7 Уставка на открытие
168	sdku	A_KP_2_ZDV_7	SetTimeClose	sdku:A_KP_2_ZDV_7.SetTimeClose	КП 2 Задв.7 Уставка на закрытие
169	sdku	A_KP_2_ZDV_7	AlmMuf	sdku:A_KP_2_ZDV_7.AlmMuf	КП 2 Задв.7 Авария муфты
170	sdku	A_KP_2_ZDV_7	AlmU	sdku:A_KP_2_ZDV_7.AlmU	КП 2 Задв.7 Авария питания
171	sdku	A_KP_2_ZDV_8	Pin	sdku:A_KP_2_ZDV_8.Pin	КП 2 Задв.8 Давление на входе
172	sdku	A_KP_2_ZDV_8	Pout	sdku:A_KP_2_ZDV_8.Pout	КП 2 Задв.8 Давление на выходе
173	sdku	A_KP_2_ZDV_8	ToOpen	sdku:A_KP_2_ZDV_8.ToOpen	КП 2 Задв.8 Открыть
174	sdku	A_KP_2_ZDV_8	ToClose	sdku:A_KP_2_ZDV_8.ToClose	КП 2 Задв.8 Закрыть
175	sdku	A_KP_2_ZDV_8	Opened	sdku:A_KP_2_ZDV_8.Opened	КП 2 Задв.8 Открыта
176	sdku	A_KP_2_ZDV_8	Closed	sdku:A_KP_2_ZDV_8.Closed	КП 2 Задв.8 Закрыта
177	sdku	A_KP_2_ZDV_8	SetTimeOpen	sdku:A_KP_2_ZDV_8.SetTimeOpen	КП 2 Задв.8 Уставка на открытие
178	sdku	A_KP_2_ZDV_8	SetTimeClose	sdku:A_KP_2_ZDV_8.SetTimeClose	КП 2 Задв.8 Уставка на закрытие
179	sdku	A_KP_2_ZDV_8	AlmMuf	sdku:A_KP_2_ZDV_8.AlmMuf	КП 2 Задв.8 Авария муфты
180	sdku	A_KP_2_ZDV_8	AlmU	sdku:A_KP_2_ZDV_8.AlmU	КП 2 Задв.8 Авария питания
181	sdku	A_KP_2_ZDV_9	Pin	sdku:A_KP_2_ZDV_9.Pin	КП 2 Задв.9 Давление на входе
182	sdku	A_KP_2_ZDV_9	Pout	sdku:A_KP_2_ZDV_9.Pout	КП 2 Задв.9 Давление на выходе
183	sdku	A_KP_2_ZDV_9	ToOpen	sdku:A_KP_2_ZDV_9.ToOpen	КП 2 Задв.9 Открыть
184	sdku	A_KP_2_ZDV_9	ToClose	sdku:A_KP_2_ZDV_9.ToClose	КП 2 Задв.9 Закрыть
185	sdku	A_KP_2_ZDV_9	Opened	sdku:A_KP_2_ZDV_9.Opened	КП 2 Задв.9 Открыта
186	sdku	A_KP_2_ZDV_9	Closed	sdku:A_KP_2_ZDV_9.Closed	КП 2 Задв.9 Закрыта
187	sdku	A_KP_2_ZDV_9	SetTimeOpen	sdku:A_KP_2_ZDV_9.SetTimeOpen	КП 2 Задв.9 Уставка на открытие
188	sdku	A_KP_2_ZDV_9	SetTimeClose	sdku:A_KP_2_ZDV_9.SetTimeClose	КП 2 Задв.9 Уставка на закрытие
189	sdku	A_KP_2_ZDV_9	AlmMuf	sdku:A_KP_2_ZDV_9.AlmMuf	КП 2 Задв.9 Авария муфты
190	sdku	A_KP_2_ZDV_9	AlmU	sdku:A_KP_2_ZDV_9.AlmU	КП 2 Задв.9 Авария питания
191	sdku	A_KP_2_ZDV_10	Pin	sdku:A_KP_2_ZDV_10.Pin	КП 2 Задв.10 Давление на входе
192	sdku	A_KP_2_ZDV_10	Pout	sdku:A_KP_2_ZDV_10.Pout	КП 2 Задв.10 Давление на выходе
193	sdku	A_KP_2_ZDV_10	ToOpen	sdku:A_KP_2_ZDV_10.ToOpen	КП 2 Задв.10 Открыть
194	sdku	A_KP_2_ZDV_10	ToClose	sdku:A_KP_2_ZDV_10.ToClose	КП 2 Задв.10 Закрыть
195	sdku	A_KP_2_ZDV_10	Opened	sdku:A_KP_2_ZDV_10.Opened	КП 2 Задв.10 Открыта
196	sdku	A_KP_2_ZDV_10	Closed	sdku:A_KP_2_ZDV_10.Closed	КП 2 Задв.10 Закрыта
197	sdku	A_KP_2_ZDV_10	SetTimeOpen	sdku:A_KP_2_ZDV_10.SetTimeOpen	КП 2 Задв.10 Уставка на открытие
198	sdku	A_KP_2_ZDV_10	SetTimeClose	sdku:A_KP_2_ZDV_10.SetTimeClose	КП 2 Задв.10 Уставка на закрытие
199	sdku	A_KP_2_ZDV_10	AlmMuf	sdku:A_KP_2_ZDV_10.AlmMuf	КП 2 Задв.10 Авария муфты
200	sdku	A_KP_2_ZDV_10	AlmU	sdku:A_KP_2_ZDV_10.AlmU	КП 2 Задв.10 Авария питания
201	sdku	A_KP_3_ZDV_1	Pin	sdku:A_KP_3_ZDV_1.Pin	КП 3 Задв.1 Давление на входе
202	sdku	A_KP_3_ZDV_1	Pout	sdku:A_KP_3_ZDV_1.Pout	КП 3 Задв.1 Давление на выходе
203	sdku	A_KP_3_ZDV_1	ToOpen	sdku:A_KP_3_ZDV_1.ToOpen	КП 3 Задв.1 Открыть
204	sdku	A_KP_3_ZDV_1	ToClose	sdku:A_KP_3_ZDV_1.ToClose	КП 3 Задв.1 Закрыть
205	sdku	A_KP_3_ZDV_1	Opened	sdku:A_KP_3_ZDV_1.Opened	КП 3 Задв.1 Открыта
206	sdku	A_KP_3_ZDV_1	Closed	sdku:A_KP_3_ZDV_1.Closed	КП 3 Задв.1 Закрыта
207	sdku	A_KP_3_ZDV_1	SetTimeOpen	sdku:A_KP_3_ZDV_1.SetTimeOpen	КП 3 Задв.1 Уставка на открытие
208	sdku	A_KP_3_ZDV_1	SetTimeClose	sdku:A_KP_3_ZDV_1.SetTimeClose	КП 3 Задв.1 Уставка на закрытие
